"disease
","disease_name
",disease_type,disease_description,chemical_control,natural_remedies
alternaria_leaf_spot,Alternaria leaf spot ,Fungal disease,"Alternaria leaf spot is a plant disease caused by fungi of the Alternaria genus, primarily Alternaria solani and Alternaria alternata. Symptoms typically appear as small, dark spots on leaves that gradually enlarge and develop concentric rings, giving them a target-like appearance.
","- pyraclostrobin + boscalid,
- captan, 
- mancozeb, 
- fludioxonil,
- fluopyram + febuconazole","- neem oil,  - garlic extract,  - baking soda solution (1 teaspoon baking soda + 1 quart water), - diluted apple cider vinegar (1 part vinegar to 3 parts water)"
bacterial_blight,Bacterial blight,"Bacterial disease
","Bacterial blight is a plant disease caused by various species of bacteria, most commonly Xanthomonas species. It affects a wide range of plants, including vegetables, fruits, and ornamentals. The disease typically manifests as water-soaked lesions on leaves, stems, and sometimes fruits. 
",- Streptomycin sulphate + Tetracycline combination 300 g + Copper oxychloride 1.25kg/ha. ,"- neem oil, "
bacterial_spot,Bacterial spot,"Bacterial disease    

","Bacterial spot is a plant disease caused by several species of bacteria, most commonly Xanthomonas spp., such as Xanthomonas campestris and Xanthomonas vesicatoria. Symptoms of bacterial spot typically include small, water-soaked lesions on leaves, fruits, and stems. These lesions may appear initially as dark spots that later turn brown or black","- Kocide® Opti,
- Flint 
","- Garlic Spray, - Baking Soda Solution: Mix 1 tablespoon of baking soda with 1 gallon of water and a few drops of dish soap"
bacterial_wilt,Bacterial wilt,"Bacterial disease    
","Bacterial wilt is a destructive plant disease caused by the bacterium Ralstonia solanacearum. Symptoms of bacterial wilt typically start with wilting of leaves, initially during the hottest part of the day, but progressively worsening until leaves remain wilted at all times. Leaves may also exhibit yellowing or browning, and stems may show signs of discoloration or dark streaking. 
","- Agri-Strep,  
- Streptomycin sulphate                                                                                           ","- garlic extract,  - neem oil,  - ginger extract,  - chitosan"
black_measles,Black measles,"Fungal disease   
","Black measles is a plant disease characterized by black lesions or spots, it could be caused by various pathogens such as fungi, bacteria, or viruses.
","- Mancozeb, 
- Propiconazole, 
- Myclobutanil","- neem oil,  - garlic extract"
black_rot,Black rot,"Fungal disease   
","Black rot is a plant disease caused by the fungus Guignardia bidwellii, also known as Phyllosticta ampelicida. Symptoms of black rot typically appear on leaves, fruit, and stems. On leaves, circular or irregular-shaped lesions with dark centers and reddish-brown borders develop.","- Captan, 
- Fludioxonil, 
- Myclobutanil, 
- Mancozeb","- neem oil,  - garlic extract,  - baking soda solution"
blast,Blast,"Fungal disease   
","Rice blast, caused by the fungus Magnaporthe oryzae, is one of the most devastating diseases affecting rice plants worldwide. Symptoms of blast small, water-soaked lesions appear on leaves, usually near the tips or edges. Lesions rapidly enlarge, becoming spindle-shaped or diamond-shaped, with a gray center and brown to dark-purple borders.
","- Captan, 
- Azoxystrobin, 
- Tricyclazole, 
- Propiconazole, 
- Flutriafol","- neem oil,  - garlic extract,  - baking soda solution (1 teaspoon baking soda + 1 quart water), - diluted apple cider vinegar (1 part vinegar to 3 parts water)"
brown_spot,Brown spot,"Various factors 
","Brown spot, caused by the fungus Bipolaris oryzae, is a common fungal disease affecting rice plants. Symptoms include small, oval to spindle-shaped lesions with dark centers and yellow halos on leaves. Lesions may coalesce, causing extensive leaf damage and reduced photosynthesis. 
","- Captan, 
- chlorothalonil,
- sulfur","- neem oil,  - garlic extract,  - copper, sulfur, or potassium bicarbonate"
brown_streak_disease,Brown streak disease,"Virus disease   
","Brown streak disease is a viral infection affecting cassava plants, caused by two closely related viruses: Cassava brown streak virus (CBSV) and Ugandan cassava brown streak virus (UCBSV). Symptoms include brown streaks or necrotic lesions on stems, petioles, and leaf veins, along with yellowing of leaf margins and vein clearing.
","- imidacloprid, 
- thiamethoxam, 
- clothianidin, 
- bifenthrin, 
- cypermethrin","- garlic extract,  - ginger extract,  - neem oil"
citrus_greening,Citrus greening,"Bacterial disease    
","Citrus greening, also known as Huanglongbing (HLB), is a devastating bacterial disease affecting citrus trees. It is caused by the bacterium Candidatus Liberibacter asiaticus (CLas). Symptoms of citrus greening include: Yellowing and mottling of leaves, often with asymmetrical blotches. Stunted or malformed fruit, with a bitter or sour taste. Premature fruit drop and reduced yield. Dieback of branches and eventually tree decline.
","- Neonicotinoids, 
- pyrethroids","- neem oil, "
